sample_name,rnai
E2f2_SRR3486886,E2f2
wek_SRR3486887,wek
CG4707_SRR3486888,CG4707
jing_SRR3486889,jing
shn_SRR3486891,shn
CTCF_SRR3486894,CTCF
mtRNApol_SRR3486896,mtRNApol
LacZ_SRR3486898,LacZ
gem_SRR3486901,gem
Su[var]2-10_SRR3486903,Su[var]2-10
Rpd3_SRR3486905,Rpd3
MED4_SRR3486906,MED4
lilli_SRR3486908,lilli
Hr39_SRR3486910,Hr39
CG9418_SRR3486912,CG9418
rgr_SRR3486914,rgr
kto_SRR3486919,kto
Chd1_SRR3486920,Chd1
CG7099_SRR3486921,CG7099
Su[var]205_SRR3486922,Su[var]205
Rtf1_SRR3486923,Rtf1
CG1233_SRR3486928,CG1233
CG15011_SRR3486929,CG15011
phol_SRR3486930,phol
CrebA_SRR3486931,CrebA
CG12942_SRR3486938,CG12942
chn_SRR3486940,chn
Jarid2_SRR3486942,Jarid2
D19A_SRR3486943,D19A
CG15436_SRR3486944,CG15436
glu_SRR3486947,glu
Xpd_SRR3486949,Xpd
rgr_SRR3486950,rgr
Gcn5_SRR3486954,Gcn5
CG17612_SRR3486955,CG17612
CG10462_SRR3486956,CG10462
grp_SRR3486958,grp
EcR_SRR3486960,EcR
Sin3A_SRR3486962,Sin3A
Cdc5_SRR3486964,Cdc5
Taf4_SRR3486966,Taf4
Dref_SRR3486969,Dref
ap_SRR3486972,ap
az2_SRR3486974,az2
E[bx]_SRR3486976,E[bx]
wek_SRR3486982,wek
Br140_SRR3486985,Br140
shn_SRR3486986,shn
Dp_SRR3486987,Dp
CTCF_SRR3486989,CTCF
mbf1_SRR3486990,mbf1
GATAd_SRR3486992,GATAd
LacZ_SRR3486993,LacZ
stc_SRR3486994,stc
Lpt_SRR3486995,Lpt
gem_SRR3486996,gem
Su[var]2-10_SRR3486998,Su[var]2-10
Hsf_SRR3486999,Hsf
Rpd3_SRR3487000,Rpd3
lilli_SRR3487003,lilli
Hr39_SRR3487005,Hr39
CG12391_SRR3487008,CG12391
MED14_SRR3487011,MED14
Cdk8_SRR3487013,Cdk8
kto_SRR3487014,kto
Chd1_SRR3487015,Chd1
CG7099_SRR3487016,CG7099
CG4496_SRR3487025,CG4496
Hr78_SRR3487028,Hr78
cnc_SRR3487032,cnc
CG31224_SRR3487033,CG31224
CG32772_SRR3487035,CG32772
fu2_SRR3487037,fu2
